year,state,state_po,state_fips,district,party,districtID
2020,NEW YORK,NY,36,20,DEMOCRAT,3620
2020,NEW YORK,NY,36,21,REPUBLICAN,3621
2020,NEW YORK,NY,36,22,REPUBLICAN,3622
2020,NEW YORK,NY,36,23,REPUBLICAN,3623
2020,NEW YORK,NY,36,24,REPUBLICAN,3624
2020,NEW YORK,NY,36,25,DEMOCRAT,3625
2020,NEW YORK,NY,36,26,DEMOCRAT,3626
2020,NEW YORK,NY,36,27,REPUBLICAN,3627
2020,NORTH CAROLINA,NC,37,1,DEMOCRAT,371
2020,NORTH CAROLINA,NC,37,2,DEMOCRAT,372
2020,NORTH CAROLINA,NC,37,3,REPUBLICAN,373
2020,NORTH CAROLINA,NC,37,4,DEMOCRAT,374
2020,NORTH CAROLINA,NC,37,5,REPUBLICAN,375
2020,NORTH CAROLINA,NC,37,6,DEMOCRAT,376
2020,NORTH CAROLINA,NC,37,7,REPUBLICAN,377
2020,NORTH CAROLINA,NC,37,8,REPUBLICAN,378
2020,NORTH CAROLINA,NC,37,9,REPUBLICAN,379
2020,NORTH CAROLINA,NC,37,10,REPUBLICAN,3710
2020,NORTH CAROLINA,NC,37,11,REPUBLICAN,3711
2020,NORTH CAROLINA,NC,37,12,DEMOCRAT,3712
2020,NORTH CAROLINA,NC,37,13,REPUBLICAN,3713
2020,NORTH DAKOTA,ND,38,0,REPUBLICAN,380
2020,OHIO,OH,39,1,REPUBLICAN,391
2020,OHIO,OH,39,2,REPUBLICAN,392
2020,OHIO,OH,39,3,DEMOCRAT,393
2020,OHIO,OH,39,4,REPUBLICAN,394
2020,OHIO,OH,39,5,REPUBLICAN,395
2020,OHIO,OH,39,6,REPUBLICAN,396
2020,OHIO,OH,39,7,REPUBLICAN,397
2020,OHIO,OH,39,8,REPUBLICAN,398
2020,OHIO,OH,39,9,DEMOCRAT,399
2020,OHIO,OH,39,10,REPUBLICAN,3910
2020,OHIO,OH,39,11,DEMOCRAT,3911
2020,OHIO,OH,39,12,REPUBLICAN,3912
2020,OHIO,OH,39,13,DEMOCRAT,3913
2020,OHIO,OH,39,14,REPUBLICAN,3914
2020,OHIO,OH,39,15,REPUBLICAN,3915
2020,OHIO,OH,39,16,REPUBLICAN,3916
2020,OKLAHOMA,OK,40,1,REPUBLICAN,401
2020,OKLAHOMA,OK,40,2,REPUBLICAN,402
2020,OKLAHOMA,OK,40,3,REPUBLICAN,403
2020,OKLAHOMA,OK,40,4,REPUBLICAN,404
2020,OKLAHOMA,OK,40,5,REPUBLICAN,405
2020,OREGON,OR,41,1,DEMOCRAT,411
2020,OREGON,OR,41,2,REPUBLICAN,412
2020,OREGON,OR,41,3,DEMOCRAT,413
2020,OREGON,OR,41,4,DEMOCRAT,414
2020,OREGON,OR,41,5,DEMOCRAT,415
2020,PENNSYLVANIA,PA,42,1,REPUBLICAN,421
2020,PENNSYLVANIA,PA,42,2,DEMOCRAT,422
2020,PENNSYLVANIA,PA,42,3,DEMOCRAT,423
2020,PENNSYLVANIA,PA,42,4,DEMOCRAT,424
2020,PENNSYLVANIA,PA,42,5,DEMOCRAT,425
2020,PENNSYLVANIA,PA,42,6,DEMOCRAT,426
2020,PENNSYLVANIA,PA,42,7,DEMOCRAT,427
2020,PENNSYLVANIA,PA,42,8,DEMOCRAT,428
2020,PENNSYLVANIA,PA,42,9,REPUBLICAN,429
2020,PENNSYLVANIA,PA,42,10,REPUBLICAN,4210
2020,PENNSYLVANIA,PA,42,11,REPUBLICAN,4211
2020,PENNSYLVANIA,PA,42,12,REPUBLICAN,4212
2020,PENNSYLVANIA,PA,42,13,REPUBLICAN,4213
2020,PENNSYLVANIA,PA,42,14,REPUBLICAN,4214
2020,PENNSYLVANIA,PA,42,15,REPUBLICAN,4215
2020,PENNSYLVANIA,PA,42,16,REPUBLICAN,4216
2020,PENNSYLVANIA,PA,42,17,DEMOCRAT,4217
2020,PENNSYLVANIA,PA,42,18,DEMOCRAT,4218
2020,RHODE ISLAND,RI,44,1,DEMOCRAT,441
2020,RHODE ISLAND,RI,44,2,DEMOCRAT,442
2020,SOUTH CAROLINA,SC,45,1,REPUBLICAN,451
2020,SOUTH CAROLINA,SC,45,2,REPUBLICAN,452
2020,SOUTH CAROLINA,SC,45,3,REPUBLICAN,453
2020,SOUTH CAROLINA,SC,45,4,REPUBLICAN,454
2020,SOUTH CAROLINA,SC,45,5,REPUBLICAN,455
2020,SOUTH CAROLINA,SC,45,6,DEMOCRAT,456
2020,SOUTH CAROLINA,SC,45,7,REPUBLICAN,457
2020,SOUTH DAKOTA,SD,46,0,REPUBLICAN,460
2020,TENNESSEE,TN,47,1,REPUBLICAN,471
2020,TENNESSEE,TN,47,2,REPUBLICAN,472
2020,TENNESSEE,TN,47,3,REPUBLICAN,473
2020,TENNESSEE,TN,47,4,REPUBLICAN,474
2020,TENNESSEE,TN,47,5,DEMOCRAT,475
2020,TENNESSEE,TN,47,6,REPUBLICAN,476
2020,TENNESSEE,TN,47,7,REPUBLICAN,477
2020,TENNESSEE,TN,47,8,REPUBLICAN,478
2020,TENNESSEE,TN,47,9,DEMOCRAT,479
2020,TEXAS,TX,48,1,REPUBLICAN,481
2020,TEXAS,TX,48,2,REPUBLICAN,482
2020,TEXAS,TX,48,3,REPUBLICAN,483
2020,TEXAS,TX,48,4,REPUBLICAN,484
2020,TEXAS,TX,48,5,REPUBLICAN,485
2020,TEXAS,TX,48,6,REPUBLICAN,486
2020,TEXAS,TX,48,7,DEMOCRAT,487
2020,TEXAS,TX,48,8,REPUBLICAN,488
2020,TEXAS,TX,48,9,DEMOCRAT,489
2020,TEXAS,TX,48,10,REPUBLICAN,4810
2020,TEXAS,TX,48,11,REPUBLICAN,4811
2020,TEXAS,TX,48,12,REPUBLICAN,4812
2020,TEXAS,TX,48,13,REPUBLICAN,4813
2020,TEXAS,TX,48,14,REPUBLICAN,4814
2020,TEXAS,TX,48,15,DEMOCRAT,4815
2020,TEXAS,TX,48,16,DEMOCRAT,4816
2020,TEXAS,TX,48,17,REPUBLICAN,4817
2020,TEXAS,TX,48,18,DEMOCRAT,4818
2020,TEXAS,TX,48,19,REPUBLICAN,4819
2020,TEXAS,TX,48,20,DEMOCRAT,4820
2020,TEXAS,TX,48,21,REPUBLICAN,4821
2020,TEXAS,TX,48,22,REPUBLICAN,4822
2020,TEXAS,TX,48,23,REPUBLICAN,4823
2020,TEXAS,TX,48,24,REPUBLICAN,4824
2020,TEXAS,TX,48,25,REPUBLICAN,4825
2020,TEXAS,TX,48,26,REPUBLICAN,4826
2020,TEXAS,TX,48,27,REPUBLICAN,4827
2020,TEXAS,TX,48,28,DEMOCRAT,4828
2020,TEXAS,TX,48,29,DEMOCRAT,4829
2020,TEXAS,TX,48,30,DEMOCRAT,4830
2020,TEXAS,TX,48,31,REPUBLICAN,4831
2020,TEXAS,TX,48,32,DEMOCRAT,4832
2020,TEXAS,TX,48,33,DEMOCRAT,4833
2020,TEXAS,TX,48,34,DEMOCRAT,4834
2020,TEXAS,TX,48,35,DEMOCRAT,4835
2020,TEXAS,TX,48,36,REPUBLICAN,4836
2020,UTAH,UT,49,1,REPUBLICAN,491
2020,UTAH,UT,49,2,REPUBLICAN,492
2020,UTAH,UT,49,3,REPUBLICAN,493
2020,UTAH,UT,49,4,REPUBLICAN,494
2020,VERMONT,VT,50,0,DEMOCRAT,500
2020,VIRGINIA,VA,51,1,REPUBLICAN,511
2020,VIRGINIA,VA,51,2,DEMOCRAT,512
2020,VIRGINIA,VA,51,3,DEMOCRAT,513
2020,VIRGINIA,VA,51,4,DEMOCRAT,514
2020,VIRGINIA,VA,51,5,REPUBLICAN,515
2020,VIRGINIA,VA,51,6,REPUBLICAN,516
2020,VIRGINIA,VA,51,7,DEMOCRAT,517
2020,VIRGINIA,VA,51,8,DEMOCRAT,518
2020,VIRGINIA,VA,51,9,REPUBLICAN,519
2020,VIRGINIA,VA,51,10,DEMOCRAT,5110
2020,VIRGINIA,VA,51,11,DEMOCRAT,5111
2020,WASHINGTON,WA,53,1,DEMOCRAT,531
2020,WASHINGTON,WA,53,2,DEMOCRAT,532
2020,WASHINGTON,WA,53,3,REPUBLICAN,533
2020,WASHINGTON,WA,53,4,REPUBLICAN,534
2020,WASHINGTON,WA,53,5,REPUBLICAN,535
2020,WASHINGTON,WA,53,6,DEMOCRAT,536
2020,WASHINGTON,WA,53,7,DEMOCRAT,537
2020,WASHINGTON,WA,53,8,DEMOCRAT,538
2020,WASHINGTON,WA,53,9,DEMOCRAT,539
2020,WASHINGTON,WA,53,10,DEMOCRAT,5310
2020,WEST VIRGINIA,WV,54,1,REPUBLICAN,541
2020,WEST VIRGINIA,WV,54,2,REPUBLICAN,542
2020,WEST VIRGINIA,WV,54,3,REPUBLICAN,543
2020,WISCONSIN,WI,55,1,REPUBLICAN,551
2020,WISCONSIN,WI,55,2,DEMOCRAT,552
2020,WISCONSIN,WI,55,3,DEMOCRAT,553
2020,WISCONSIN,WI,55,4,DEMOCRAT,554
2020,WISCONSIN,WI,55,5,REPUBLICAN,555
2020,WISCONSIN,WI,55,6,REPUBLICAN,556
2020,WISCONSIN,WI,55,7,REPUBLICAN,557
2020,WISCONSIN,WI,55,8,REPUBLICAN,558
2020,WYOMING,WY,56,0,REPUBLICAN,560
