county,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,Percentage Eligible,rural
08121,745,1079,41,11,52,4,711,197,83,341,223,40.84,1
08123,48798,72784,3681,2987,1882,31,42735,20117,6639,16256,17722,40.14,0
08125,1546,2238,86,23,108,9,1475,408,173,709,464,40.86,1
09001,132049,226234,2154,6570,31797,0,82339,44823,8912,62095,48670,36.86,0
09003,145368,213680,4235,10247,36799,51,99319,42019,11380,65720,52426,40.49,0
09005,26361,48790,524,816,1833,22,23659,4521,2194,14155,9730,35.08,0
09007,20475,49340,548,1211,3097,0,17491,2988,1990,10684,6505,29.33,0
09009,153453,196665,3896,8116,37618,108,102785,46756,12659,68013,51179,43.83,0
09011,45550,65326,1940,2284,6346,90,37815,8060,6767,20269,18275,41.08,0
09013,23792,35482,634,1379,2840,0,20585,4306,2468,9531,7905,40.14,0
09015,21585,24170,1164,718,1596,19,20395,4299,2586,8778,7953,47.18,0
10001,31079,39218,1597,1363,11470,0,19854,4699,5370,13828,11870,44.21,0
10003,77138,143501,3724,4452,30663,0,44218,9528,5412,34161,28711,34.96,0
10005,42525,62207,1306,533,9589,0,33667,5386,6667,22515,13736,40.6,1
12001,46458,61729,1723,3853,12581,0,33320,7306,3324,14255,12124,42.94,0
12003,4777,6890,107,174,755,0,4385,232,847,2188,1908,40.94,1
12005,33523,43245,1761,1759,5318,78,29473,3035,5674,14091,15215,43.67,0
12007,5593,5112,498,73,1034,8,4794,623,965,2597,2660,52.25,1
12009,102785,151802,2691,5845,19329,262,82570,14376,22766,53069,39892,40.37,0
12011,328575,419214,7305,15040,117795,39,201895,114867,20496,163090,97089,43.94,0
12013,2554,2448,75,6,956,0,1604,194,236,1217,1086,51.06,1
12015,35670,53318,874,1237,3071,0,31691,4125,6103,23765,15071,40.08,0
12017,30467,37801,1438,599,1377,0,28267,2262,7176,21483,11125,44.63,1
12019,29978,50502,2035,1311,4430,230,24320,4567,8804,14117,10481,37.25,0
12021,54726,109206,1135,1360,5304,0,45742,21659,3894,28170,14332,33.38,0
12023,13768,12585,1226,179,2544,19,11801,1535,2375,6392,6549,52.24,1
12027,7681,6252,239,67,1343,0,5828,2721,922,3655,3570,55.13,0
12029,3309,3025,295,43,612,5,2837,369,571,1536,1574,52.24,1
12031,178905,227386,4993,9257,77992,549,97521,21030,31309,66963,63599,44.03,0
12033,58459,68520,3449,3463,21627,59,39192,4490,12804,26321,23889,46.04,0
12035,17205,29895,145,864,3004,0,13419,2266,2736,10282,6324,36.53,0
12037,2329,2233,69,5,872,0,1462,177,215,1110,991,51.05,1
12039,8201,7863,242,18,3070,0,5151,622,759,3908,3489,51.05,0
12041,3529,3226,314,46,652,5,3025,393,609,1638,1679,52.24,1
12043,2744,1656,60,128,158,9,2360,1134,407,1225,1081,62.36,1
12045,2655,2546,78,6,994,0,1668,201,246,1265,1130,51.05,1
12047,2826,2121,49,13,665,0,2185,239,369,1537,1325,57.13,1
12049,5726,4660,178,50,1001,0,4345,2028,688,2725,2661,55.13,1
12051,8967,5412,196,417,515,29,7710,3706,1329,4002,3532,62.36,1
12053,37445,44052,830,684,3514,0,33372,7699,5351,20751,16722,45.95,0
12055,22892,18110,690,294,3712,8,17619,8255,2818,10819,10463,55.83,1
12057,231660,345904,6418,11754,60092,194,154709,94047,28580,97817,75678,40.11,0
12059,3760,4850,197,197,596,9,3305,340,636,1580,1706,43.67,1
12061,25653,44321,529,214,3351,0,22011,5248,2986,14063,11092,36.66,0
12063,8855,8489,261,20,3314,0,5561,672,819,4219,3767,51.06,1
12065,2715,2603,80,6,1016,0,1705,206,251,1294,1155,51.05,1
12067,1660,1246,29,7,390,0,1283,140,217,903,778,57.12,1
12069,59268,102188,1869,2374,8870,88,49433,11166,8988,35027,24783,36.71,0
12071,130938,189500,3045,3579,17890,502,112448,38128,14652,69953,43614,40.86,0
12073,52940,68484,2024,2681,27089,0,28911,5671,4711,14630,16479,43.6,0
12075,8478,7750,755,110,1567,12,7267,945,1463,3936,4033,52.24,1
12077,1493,1431,44,3,559,0,937,113,138,711,635,51.06,1
12079,3626,2722,63,16,853,0,2803,306,474,1973,1700,57.12,1
12081,53734,109786,1539,2412,7434,0,44029,10574,7056,29589,19168,32.86,0
12083,71659,85691,1331,1934,11929,0,58258,15298,10060,38008,28341,45.54,0
12085,25783,43382,436,685,2323,0,23007,5308,4471,15607,8792,37.28,0
12086,530574,438106,5649,10400,100150,341,397580,404352,17646,277089,171602,54.77,0
12087,12941,18048,128,330,2506,0,10481,4988,2018,5762,3823,41.76,0
12089,15277,22035,342,557,2414,0,14022,742,2710,6997,6102,40.94,1
