puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
0607507,19199,12656,60.27,54.77,-17.29,-10.95,-1.74,0.0,-10.29,-12.02,0.0,-5.16,-5.49,-8.89
0607508,13252,30272,30.45,27.33,0.0,-8.63,0.0,0.0,-12.56,0.0,-66.4,-10.33,-3.94,-5.48
0607509,18298,33875,35.07,30.7,0.0,-11.37,-17.41,0.0,-13.67,-13.25,-12.91,-12.15,-4.33,-6.32
0607510,19925,26716,42.72,38.21,0.0,-8.8,-4.2,0.0,-12.3,-13.98,-6.96,-9.7,-2.87,-5.49
0607511,14652,42511,25.63,23.32,-0.5,-9.77,-1.19,0.0,-7.22,-11.83,-2.39,-9.11,-6.42,-6.18
0607512,13257,26390,33.44,30.02,0.0,-9.7,-10.63,0.0,-9.98,-5.04,-7.92,-14.43,-14.33,-2.1
0607513,12930,21438,37.62,33.85,-9.69,-10.22,-3.6,0.0,-11.52,-3.77,-0.1,-8.36,-8.27,-10.63
0607514,13475,32380,29.39,25.91,0.0,-10.79,-14.5,0.0,-12.64,-5.62,-47.39,-11.8,-4.87,-6.23
0607705,32855,31279,51.23,47.45,-7.57,-3.42,-3.88,0.0,-9.73,-8.46,-16.06,-11.71,-6.49,-3.69
0607706,33954,15785,68.26,62.97,-4.3,-3.55,-10.1,0.0,-10.06,-7.69,-21.45,-13.29,-3.02,-4.12
0607707,14332,22408,39.01,34.46,-16.07,-7.01,-2.44,0.0,-15.73,-10.15,-20.37,-17.19,-11.99,-7.16
0607708,27480,28631,48.97,45.57,-4.59,-3.42,0.0,0.0,-7.47,-3.74,-14.05,-9.28,-6.03,-6.05
0607709,13676,21392,39.0,34.46,-16.2,-7.03,-2.46,0.0,-15.72,-10.11,-20.39,-17.19,-11.97,-7.17
0607901,26902,40708,39.79,32.44,-10.58,-21.23,-32.8,0.0,-17.42,-5.03,-21.59,-22.34,-16.97,-2.94
0607902,15486,24475,38.75,35.13,-14.14,-1.89,-0.45,0.0,-10.18,-1.71,-22.1,-15.62,-11.74,-0.06
0608101,18230,28243,39.23,37.42,0.0,-2.71,0.0,0.0,-6.82,-8.34,-5.68,-8.83,-2.58,-2.16
0608102,14226,28931,32.96,30.3,-0.38,-3.87,0.0,0.0,-14.47,-4.63,-19.89,-12.49,-5.46,-2.56
0608103,12146,29264,29.33,24.96,-10.99,-12.15,0.0,0.0,-17.69,-20.17,-18.68,-18.93,-18.86,-1.32
0608104,10854,35087,23.63,19.52,0.0,-12.86,0.0,0.0,-25.1,-9.21,-9.46,-18.12,-8.01,-9.27
0608105,11298,39456,22.26,20.64,0.0,-10.75,0.0,0.0,-6.77,-3.74,-0.77,-6.93,-2.32,-2.91
0608106,9609,26407,26.68,25.0,0.0,-8.77,0.0,0.0,-10.27,-3.0,-14.79,-7.01,-4.45,-0.04
0608301,22558,17442,56.4,53.68,0.0,-5.67,0.0,0.0,-5.66,-1.45,-3.62,-8.98,-3.55,-0.96
0608302,17947,18353,49.44,44.54,-18.21,-13.85,-1.99,0.0,-9.31,-4.88,-10.79,-15.17,-3.38,-4.93
0608303,28159,46099,37.92,33.81,0.0,-10.5,-9.59,0.0,-12.84,-6.72,-15.11,-15.72,-8.74,-6.19
0608505,12996,14944,46.51,42.35,0.0,-1.64,0.0,0.0,-11.48,-11.52,-5.78,-2.77,-1.23,-3.13
0608506,15328,25143,37.87,33.32,-6.28,-14.09,0.0,0.0,-14.98,-13.66,-30.87,-16.01,-15.67,-3.12
0608507,10641,41391,20.45,16.67,0.0,-18.13,-0.46,0.0,-18.46,-7.23,-20.65,-21.78,-8.39,-13.64
0608508,15050,35655,29.68,25.82,0.0,-12.98,-19.46,0.0,-5.2,-25.46,-13.17,-11.68,-8.41,-7.36
0608510,22033,33045,40.0,35.58,-34.05,-6.35,-0.13,0.0,-15.2,-8.35,-30.74,-14.89,-7.8,-5.95
0608511,10679,28522,27.24,24.94,0.0,-6.26,-4.39,0.0,-9.6,-5.0,-29.18,-9.24,-2.54,-1.94
0608512,8320,29758,21.85,20.45,0.0,-9.3,-12.25,0.0,-6.99,0.0,0.0,-10.17,-5.45,-3.74
0608515,6982,28983,19.41,16.97,-4.86,-4.18,-8.15,0.0,-14.74,-9.57,-7.03,-17.97,-14.96,-7.33
0608516,14645,47412,23.6,21.82,-0.13,-3.49,-0.13,0.0,-11.13,-5.81,-9.47,-5.31,-0.21,-1.13
0608517,12735,37049,25.58,22.44,0.0,-14.87,-13.31,0.0,-16.54,-10.12,-19.27,-14.25,-5.36,-4.75
0608518,11781,20468,36.53,34.58,0.0,-7.01,0.0,0.0,-2.62,0.0,-4.7,-2.2,-0.83,-2.37
0608519,20287,39192,34.11,31.03,-5.38,-5.4,-17.23,0.0,-7.47,-9.32,-2.03,-9.98,-3.95,-7.67
0608520,14969,17775,45.72,42.5,0.0,-6.73,0.0,0.0,-8.08,-4.89,0.0,-7.41,-4.1,-3.09
0608521,18237,15909,53.41,51.85,0.0,-2.66,0.0,0.0,-5.46,-4.05,-0.98,-2.88,-2.27,-1.57
0608522,7866,32631,19.42,16.98,-4.63,-4.18,-8.26,0.0,-14.75,-9.55,-6.98,-17.98,-14.9,-7.37
0608701,20620,28781,41.74,36.96,-3.46,-16.46,-3.15,0.0,-15.83,-5.34,-6.08,-18.05,-12.69,-4.81
0608702,17426,30527,36.34,31.32,-6.24,-15.69,-30.18,0.0,-10.36,-13.18,-4.31,-22.28,-10.83,-30.73
0608900,33977,37528,47.52,39.32,-5.29,-4.57,-5.7,0.0,-17.87,-9.2,-14.99,-22.63,-15.38,-6.38
0609501,25304,31059,44.89,38.68,-6.26,-17.14,-12.29,-42.93,-14.79,-14.23,-4.14,-10.59,-6.31,-21.9
0609502,23780,26289,47.49,43.48,-7.94,-4.08,-4.79,-97.83,-10.47,-9.42,-21.08,-7.62,-6.2,-8.52
0609503,16811,34955,32.47,28.6,0.0,0.0,-4.82,0.0,-12.09,-10.78,-26.57,-8.42,-8.34,-10.38
0609702,16799,31610,34.7,30.29,-10.53,-7.47,0.0,0.0,-15.27,-12.86,-9.82,-14.66,-7.31,-6.32
0609704,15573,34732,30.96,27.68,-1.77,-22.6,-22.14,0.0,-10.94,-2.92,-10.69,-12.53,-6.32,-4.7
0609705,15961,21798,42.27,39.16,0.0,-5.91,-1.89,0.0,-7.11,-6.45,0.0,-5.13,-2.19,-6.09
0609706,20389,33717,37.68,34.5,-0.39,-9.03,-5.8,0.0,-8.56,-5.52,-3.73,-8.37,-3.53,-5.76
0609901,17394,16542,51.26,44.12,-41.25,0.0,0.0,0.0,-15.39,-11.76,-0.2,-18.49,-13.1,-13.86
0609902,22113,16992,56.55,50.01,0.0,-3.95,-14.78,0.0,-13.4,-5.89,-13.31,-10.41,-6.2,-2.73
0609903,27571,33896,44.85,38.56,-6.21,-25.28,0.0,0.0,-17.23,-6.81,-4.05,-13.55,-11.98,-5.07
0609904,20497,19154,51.69,46.5,-0.07,-2.04,-0.07,0.0,-8.85,-10.24,-9.3,-7.35,-4.48,-10.14
0610100,34780,26861,56.42,50.96,-10.43,-9.59,-11.7,0.0,-10.6,-6.03,-20.03,-10.59,-3.48,-8.69
0610701,28615,22486,56.0,52.11,-1.72,-7.62,0.0,0.0,-7.7,-5.7,-17.35,-9.76,-3.99,-6.7
0610702,29506,17978,62.14,58.64,-1.84,-5.71,0.0,0.0,-7.1,-2.26,-15.44,-13.59,-5.03,-3.61
0610703,30269,14658,67.37,63.31,0.0,-5.73,0.0,0.0,-6.05,-4.04,-35.27,-11.15,-5.13,-2.17
0611102,15375,39262,28.14,24.9,-22.73,-14.97,-0.19,0.0,-10.05,-11.95,-3.86,-15.38,-19.34,-10.92
0611103,27198,23813,53.32,45.33,-18.25,-7.85,-11.67,0.0,-16.6,-15.36,0.0,-18.15,-7.95,-14.79
0611104,16035,31781,33.53,29.2,-15.58,-21.32,-12.05,0.0,-14.25,-3.42,-2.82,-21.18,-7.43,-8.29
0611107,15152,20601,42.38,38.37,-1.24,-24.08,0.0,0.0,-11.3,-7.77,-14.59,-10.94,-10.54,-3.54
0611108,16250,29392,35.6,29.46,-13.39,-16.78,-0.15,0.0,-18.34,-11.29,-5.22,-23.92,-20.57,-5.5
0611109,15271,29203,34.34,29.24,-5.41,-17.64,-3.09,0.0,-14.0,-13.95,-2.67,-15.04,-8.37,-18.7
0611301,16561,19379,46.08,41.74,-25.41,-9.47,-4.09,-100.0,-9.37,-8.79,-11.09,-9.76,-8.0,-6.02
0611302,18848,22056,46.08,41.73,-25.5,-9.45,-4.07,-100.0,-9.37,-8.81,-11.08,-9.76,-7.99,-6.03
0800100,16677,26372,38.74,33.06,-18.23,-53.42,0.0,0.0,-13.57,-15.49,-20.83,-16.21,-23.12,-27.1
0800200,12798,31511,28.88,21.7,0.0,0.0,0.0,0.0,-25.88,-17.51,-39.94,-31.81,-5.83,-8.47
0800301,14749,29207,33.55,27.21,-5.21,-18.93,-8.33,0.0,-19.88,-10.19,-21.81,-21.5,-15.47,-5.16
0800302,21349,38682,35.56,29.1,-6.76,-18.32,-8.82,0.0,-19.19,-12.28,-16.89,-16.77,-10.75,-6.34
0800303,13927,34207,28.93,22.85,-0.11,-20.29,-0.57,0.0,-21.77,-0.1,-30.27,-27.62,-24.03,-0.14
0800401,10562,34970,23.2,18.92,0.0,-15.38,0.0,0.0,-18.98,-6.15,-0.18,-19.77,-18.1,-0.87
0800501,15917,34754,31.41,25.56,-37.02,-16.37,0.0,0.0,-19.13,-16.04,-18.77,-19.71,-16.83,-12.52
0800502,17493,33319,34.43,29.87,-0.31,-3.84,0.0,0.0,-13.86,-13.06,-6.78,-24.58,-6.94,0.0
0800601,14499,52324,21.7,18.34,-13.55,-3.02,0.0,0.0,-17.73,-22.75,-16.38,-14.89,-9.89,-4.97
