zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
72542,46.71,793,635,55.53,-23.68,0.0,-1.11,0.0,-16.81,-15.56,-16.67,-25.38,-13.11
72543,50.93,2878,1917,60.02,-8.73,0.0,0.0,0.0,-15.51,-7.06,-12.15,-20.68,-10.74
72544,43.88,130,106,55.08,-16.67,0.0,0.0,,-21.09,-11.11,-33.33,-30.65,-21.05
72546,50.0,28,18,60.87,0.0,,0.0,,-14.81,0.0,0.0,-23.08,-15.38
72550,50.87,207,138,60.0,-11.11,0.0,0.0,0.0,-15.84,-8.33,-12.0,-20.62,-10.42
72553,50.98,30,20,60.0,0.0,,0.0,,-16.67,0.0,-25.0,-21.43,-7.14
72554,50.46,642,436,59.55,-13.79,0.0,0.0,0.0,-15.62,-7.89,-12.82,-20.88,-11.0
72555,51.09,55,37,59.78,0.0,,0.0,,-16.67,0.0,-14.29,-23.08,-11.54
72556,50.9,796,530,60.03,-8.57,0.0,0.0,0.0,-15.44,-6.38,-12.24,-20.64,-10.78
72560,50.93,2091,1392,60.03,-9.78,0.0,0.0,0.0,-15.48,-6.5,-12.06,-20.71,-10.68
72561,50.96,187,125,59.94,-12.5,0.0,0.0,0.0,-15.3,-9.09,-13.04,-20.45,-10.34
72562,50.92,523,348,60.05,-8.7,0.0,0.0,0.0,-15.46,-6.45,-10.94,-20.41,-10.66
72564,51.06,113,75,60.11,-20.0,,-33.33,0.0,-15.45,-14.29,-14.29,-20.75,-11.32
72565,51.0,209,139,60.06,-11.11,0.0,0.0,0.0,-15.2,-8.33,-11.54,-20.41,-10.31
72566,50.93,129,86,60.0,-16.67,,0.0,0.0,-15.08,-12.5,-12.5,-21.31,-10.0
72567,50.91,66,44,60.0,0.0,,0.0,,-15.38,0.0,-12.5,-19.35,-12.9
72568,50.52,399,269,59.73,-5.56,0.0,-8.33,0.0,-15.54,-4.17,-10.2,-21.39,-10.33
72569,45.86,86,71,54.78,-25.0,0.0,0.0,,-17.33,-20.0,-20.0,-25.71,-13.95
72571,50.64,94,62,60.26,0.0,,0.0,,-15.38,-16.67,-16.67,-20.45,-11.36
72572,46.67,42,33,56.0,-50.0,0.0,0.0,,-13.89,0.0,-20.0,-27.78,-19.05
72573,50.99,91,61,59.87,0.0,,0.0,,-15.73,0.0,-9.09,-20.93,-9.52
